[Wed Oct 15 12:47:32 PDT 2025] Running BQTerrace_1920x1072_60 mode=PSNR lambda=1024
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:523: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:524: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:525: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:526: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:527: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/WAVE/users2/unix/wkong/miniconda3/envs/rlvc/lib/python3.6/site-packages/tensorflow/python/framework/dtypes.py:532: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
Frame 1 PSNR = 37.166757826548626
Frame 2 PSNR = 32.49375
Frame 3 PSNR = 32.149506
Frame 4 PSNR = 32.05267
Frame 5 PSNR = 31.90078
Frame 6 PSNR = 31.820015
Frame 7 PSNR = 31.479269
Frame 14 PSNR = 37.15682788705165
Frame 13 PSNR = 32.541
Frame 12 PSNR = 32.268578
Frame 11 PSNR = 32.189915
Frame 10 PSNR = 31.966383
